origin_link,outgoing_link,origin_title,outgoing_title
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Gabriel_Cramer',b'Linear algebra',b'Gabriel Cramer'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Cramer%27s_Rule',b'Linear algebra',"b""Cramer's Rule"""
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Gauss',b'Linear algebra',b'Gauss'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Gaussian_elimination',b'Linear algebra',b'Gaussian elimination'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Geodesy',b'Linear algebra',b'Geodesy'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Geometry',b'Linear algebra',b'Geometry'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Line_(geometry)',b'Linear algebra',b'Line (geometry)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Plane_(geometry)',b'Linear algebra',b'Plane (geometry)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Rotation_(mathematics)',b'Linear algebra',b'Rotation (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Functional_analysis',b'Linear algebra',b'Functional analysis'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Engineering',b'Linear algebra',b'Engineering'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Mathematical_model',b'Linear algebra',b'Mathematical model'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Nonlinear_system',b'Linear algebra',b'Nonlinear system'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Matrix_(mathematics)',b'Linear algebra',b'Matrix (mathematics)'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Vector_space',b'Linear algebra',b'Vector space'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_map',b'Linear algebra',b'Linear map'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Mathematics',b'Linear algebra',b'Mathematics'
b'https://en.wikipedia.org/wiki/Linear_algebra',b'/wiki/Linear_equation',b'Linear algebra',b'Linear equation'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Algebraic_statistics',b'Algebraic geometry',b'Algebraic statistics'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Control_theory',b'Algebraic geometry',b'Control theory'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Robotics',b'Algebraic geometry',b'Robotics'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Algebraic_geometric_code',b'Algebraic geometry',b'Algebraic geometric code'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Computational_phylogenetics',b'Algebraic geometry',b'Computational phylogenetics'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Geometric_modelling',b'Algebraic geometry',b'Geometric modelling'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Homological_mirror_symmetry',b'Algebraic geometry',b'Homological mirror symmetry'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Game_theory',b'Algebraic geometry',b'Game theory'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Matching_(graph_theory)',b'Algebraic geometry',b'Matching (graph theory)'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Soliton',b'Algebraic geometry',b'Soliton'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Integer_programming',b'Algebraic geometry',b'Integer programming'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Jean-Pierre_Serre',b'Algebraic geometry',b'Jean-Pierre Serre'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/GAGA',b'Algebraic geometry',b'GAGA'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Characteristic_(algebra)',b'Algebraic geometry',b'Characteristic (algebra)'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Analytic_variety',b'Algebraic geometry',b'Analytic variety'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Analytic_function',b'Algebraic geometry',b'Analytic function'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Algebraic_variety',b'Algebraic geometry',b'Algebraic variety'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Complex_manifold',b'Algebraic geometry',b'Complex manifold'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Mathematical_singularity',b'Algebraic geometry',b'Mathematical singularity'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Derived_algebraic_geometry',b'Algebraic geometry',b'Derived algebraic geometry'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Gr%C3%B6bner_basis',b'Algebraic geometry',b'Gr\xc3\xb6bner basis'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Bruno_Buchberger',b'Algebraic geometry',b'Bruno Buchberger'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Cylindrical_algebraic_decomposition',b'Algebraic geometry',b'Cylindrical algebraic decomposition'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/George_E._Collins',b'Algebraic geometry',b'George E. Collins'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Abelian_variety',b'Algebraic geometry',b'Abelian variety'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Group_(mathematics)',b'Algebraic geometry',b'Group (mathematics)'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Elliptic_curve',b'Algebraic geometry',b'Elliptic curve'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Fermat%27s_last_theorem',b'Algebraic geometry',"b""Fermat's last theorem"""
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Elliptic_curve_cryptography',b'Algebraic geometry',b'Elliptic curve cryptography'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Jean-Pierre_Serre',b'Algebraic geometry',b'Jean-Pierre Serre'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Alexander_Grothendieck',b'Algebraic geometry',b'Alexander Grothendieck'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Sheaf_theory',b'Algebraic geometry',b'Sheaf theory'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Scheme_(mathematics)',b'Algebraic geometry',b'Scheme (mathematics)'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Homological_algebra',b'Algebraic geometry',b'Homological algebra'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Number_theory',b'Algebraic geometry',b'Number theory'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Singularity_theory',b'Algebraic geometry',b'Singularity theory'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Moduli_space',b'Algebraic geometry',b'Moduli space'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/B._L._van_der_Waerden',b'Algebraic geometry',b'B. L. van der Waerden'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Oscar_Zariski',b'Algebraic geometry',b'Oscar Zariski'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Andr%C3%A9_Weil',b'Algebraic geometry',b'Andr\xc3\xa9 Weil'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Commutative_algebra',b'Algebraic geometry',b'Commutative algebra'
b'https://en.wikipedia.org/wiki/Algebraic_geometry',b'/wiki/Valuation_theory',b'Algebraic geometry',b'Valuation theory'
